question,answer,image_id
what is the object close to the sink,faucet,image903
what is behind the sofa,window,image237
what is on the floor,floor_mat,image1410
what is the object in the shelves,box,image494
what object is near the garbage bin,refridgerator,image865
what is the object found on the side of the shutter window,curtain,image960
what is stuck on the wall,photo,image1217
what are the objects on the trolley,books,image119
what is on the table,lamp,image1233
what is on the left side of the wall,pipe,image491
what object is hanged on the chair,clothes,image836
how many pictures are there,4,image1366
what is above the tissue box,mirror,image671
what is to the right of the bed,cabinet,image1071
what is on the bed,soft_toy,image944
what is on the left side of books,mouse,image545
what are the objects found in front of the flour mixer,papers,image886
what are the objects on the floor near each other,"pool_table, sofa, coffee_table",image1206
how many trays in plastic cupboard,5,image737
what is behind the cup stand,bookshelf,image98
what is behind the keyboard,guitar,image1089
what is behind the girls,bookshelf,image318
what is on the right side of the garbage bin,bag,image877
what is above sink,mirror,image509
what is on the shelf,picture,image1005
what is the colour of the mat,red,image1236
what is on the stove,hot_water_heater,image567
what is the object close to the wall,poster_board,image36
what is above toilet,tissue_roll,image511
how many plants are there,1,image14
what is on the floor,floor_mat,image320
what is beneath the piano,piano_bench,image1254
what is found in the top left corner,door,image916
what is the green board in the stand,cutting_board,image868
what are the things on the table,books,image1338
what is on the blue chair,clothes,image1264
what is on the cupboard,mirror,image441
what is the object on the floor,garbage_bin,image699
what is next to the floor mat,chair,image965
what colors are the writings on the whiteboard,"red, black",image33
how many chairs found,4,image772
what is on the left side of the rack,yoga_mat,image542
what is around the table,chair,image805
what is behind the toys basket,treadmill,image1081
what is on the chair,pillow,image581
what object is found on the left side of the cooking pan,knife_rack,image892
what is on the left side of the book rack,stroller,image1407
what is in front of the washing machine,laundry_basket,image405
how many electrical appliances are on the cabinet,2,image205
what are the objects on the table,"monitor, telephone, computer",image30
what is the object display in mirror,person,image727
what is the object behind the room divider,bathtub,image728
how many chairs are there,3,image1384
what is in between the sofas,mirror,image1274
what is to the left of the computer,machine,image611
what is beneath the picture,sofa,image1271
what is stuck above the sandal coloured cabinet,photo,image1342
what is the object on the counter below the cabinet,hot_water_heater,image140
how many handles can you see in stove,4,image755
what is to the right of the mirror,door_way_arch,image1340
what is on the wall,picture,image588
what is in front of the switch board,bowl,image857
what is found in the inner room,cabinet,image1394
how many chairs are,7,image335
what is above the holder,blinds,image702
what is the colour of the object on the wall,green,image513
